1,1,0,1
2,2,0,1
3,3,2,1
4,6,2,1
6,2,2,2
7,6,3,2
9,2,3,3
10,6,4,3
12,7,6,1
13,7,7,2
14,8,9,1
15,9,12,1
16,10,12,1
17,10,12,2
18,11,12,1
19,12,24,1
20,13,24,1
21,14,24,1
22,2,15,4
23,2,111,5
24,3,3,2
25,6,16,4
26,6,112,5
28,7,19,3
29,7,31,4
30,7,43,5
31,8,15,2
32,8,63,3
33,10,24,3
34,10,60,4
35,10,96,5
36,10,132,6
37,10,168,7
38,11,18,2
39,12,60,2
40,12,96,3
41,12,132,4
42,12,168,5
43,13,60,2
44,13,96,3
45,13,132,4
46,13,168,5
47,14,60,2
48,14,96,3
49,14,132,4
50,14,168,5
51,14,204,6
52,15,108,1
53,15,110,2
54,15,114,3
55,4,2,1
56,4,3,2
57,4,4,3
58,16,120,1
59,16,121,2
60,16,127,3
